BG_GEOID,Population
1500000US410510047003,1280
1500000US410510048001,1440
1500000US410510048002,1091
1500000US410510048003,629
1500000US410510049001,1278
1500000US410510049002,1081
1500000US410510049003,1137
1500000US410510050001,2908
1500000US410510051001,3342
1500000US410510051002,2586
1500000US410510051003,1465
1500000US410510052001,968
1500000US410510052002,700
1500000US410510052003,1101
1500000US410510052004,1732
1500000US410510055001,1487
1500000US410510055002,1399
1500000US410510056001,1382
1500000US410510056002,1051
1500000US410510056003,2051
1500000US410510056004,796
1500000US410510057001,888
1500000US410510057002,2219
1500000US410510057003,740
1500000US410510058001,1026
1500000US410510058002,1479
1500000US410510058003,541
1500000US410510058004,1544
1500000US410510058005,884
1500000US410510059001,3204
1500000US410510059002,1016
1500000US410510059003,1168
1500000US410510059004,1669
1500000US410510060011,781
1500000US410510060012,645
1500000US410510060021,2241
1500000US410510061001,1208
1500000US410510061002,1045
1500000US410510062001,847
1500000US410510062002,901
1500000US410510062003,1289
1500000US410510063001,2010
1500000US410510063002,1687
1500000US410510063003,1316
1500000US410510064021,3080
1500000US410510064022,2803
1500000US410510064031,798
1500000US410510064032,2454
1500000US410510064033,1011
1500000US410510064041,1585
1500000US410510064042,1757
1500000US410510065011,1942
1500000US410510065012,2111
1500000US410510065013,2033
1500000US410510065021,2835
1500000US410510065022,1648
1500000US410510066011,1539
1500000US410510066012,1139
1500000US410510066021,996
1500000US410510066022,2495
1500000US410510066023,1966
1500000US410510067011,1919
1500000US410510067012,1442
1500000US410510067021,2295
1500000US410510067022,1059
1500000US410510068011,2512
1500000US410510068021,1653
1500000US410510068022,1829
1500000US410510069001,1503
1500000US410510069002,1164
1500000US410510070001,1196
1500000US410510070002,2326
1500000US410510070003,825
1500000US410510070004,3886
1500000US410510071001,1624
1500000US410510071002,766
1500000US410510072011,1099
1500000US410510072012,803
1500000US410510072021,3225
1500000US410510073001,1535
1500000US410510074001,1304
1500000US410510074002,2702
1500000US410510075001,2193
1500000US410510075002,1034
1500000US410510075003,2457
1500000US410510076001,1043
1500000US410510076002,2435
1500000US410510077001,1100
1500000US410510077002,1139
1500000US410510078001,806
1500000US410510078002,1115
1500000US410510079001,1358
1500000US410510079002,3009
1500000US410510080011,1590
1500000US410510080012,1880
1500000US410510080021,1796
1500000US410510080022,1468
1500000US410510081001,2925
1500000US410510081002,1524
1500000US410510081003,1750
1500000US410510081004,1445
1500000US410510082011,959
1500000US410510082012,1053
1500000US410510082013,888
1500000US410510082021,2752
1500000US410510082022,2288
1500000US410510082023,4067
1500000US410510083011,1723
1500000US410510083012,2594
1500000US410510083021,1669
1500000US410510083022,2688
1500000US410510084001,1989
1500000US410510084002,2531
1500000US410510085001,3183
1500000US410510085002,1080
1500000US410510086001,1533
1500000US410510086002,2662
1500000US410510087001,1774
1500000US410510087002,1552
1500000US410510087003,1257
1500000US410510088001,1705
1500000US410510088002,1541
1500000US410510088003,1384
1500000US410510089011,5221
1500000US410510089012,2729
1500000US410510089013,1464
1500000US410510089021,2837
1500000US410510089022,996
1500000US410510090001,3923
1500000US410510090002,2776
1500000US410510090003,3790
1500000US410510091011,3540
1500000US410510091012,2387
1500000US410510091021,1116
1500000US410510091022,1936
1500000US410510091023,801
1500000US410510091024,2242
1500000US410510092011,1382
1500000US410510092012,4362
1500000US410510092013,2204
1500000US410510092021,2872
1500000US410510092022,982
1500000US410510092023,1165
1500000US410510093011,2431
1500000US410510093012,1308
1500000US410510093013,3190
1500000US410510093021,2754
1500000US410510093022,1785
1500000US410510094001,1386
1500000US410510094002,1458
1500000US410510094003,1188
1500000US410510094004,1293
1500000US410510094005,1912
1500000US410510095011,3141
1500000US410510095012,1628
1500000US410510095021,1048
1500000US410510095022,867
1500000US410510095023,2398
1500000US410510096031,1956
1500000US410510096032,1899
1500000US410510096041,1820
1500000US410510096042,3586
1500000US410510096051,1813
1500000US410510096052,1932
1500000US410510096053,1900
1500000US410510096061,2832
1500000US410510096062,2747
1500000US410510097011,2780
1500000US410510097012,1214
1500000US410510097013,2005
1500000US410510097021,3796
1500000US410510097022,2137
1500000US410510097023,1119
1500000US410510097024,1345
1500000US410510098011,2233
1500000US410510098012,2183
1500000US410510098031,1808
1500000US410510098032,2311
1500000US410510098033,2121
1500000US410510098034,1660
1500000US410510098041,1398
1500000US410510098042,1906
1500000US410510099031,1225
1500000US410510099032,1241
1500000US410510099033,2066
1500000US410510099034,1391
1500000US410510099041,1708
1500000US410510099042,640
1500000US410510099043,1130
1500000US410510099051,1521
1500000US410510099052,1662
1500000US410510099061,2292
1500000US410510099062,938
1500000US410510099071,1313
1500000US410510099072,1040
1500000US410510099073,2738
1500000US410510100011,1792
1500000US410510100012,1141
1500000US410510100013,2733
1500000US410510100021,2891
1500000US410510100022,2517
1500000US410510101001,664
1500000US410510101002,4800
1500000US410510101003,2588
1500000US410510101004,1170
1500000US410510102001,1407
1500000US410510102002,2638
1500000US410510102003,2056
1500000US410510103031,2788
1500000US410510103032,2677
1500000US410510103041,2572
1500000US410510103042,2107
1500000US410510103051,1544
1500000US410510103052,1362
1500000US410510103053,1254
1500000US410510103061,1812
1500000US410510103062,2088
1500000US410510103063,996
1500000US410510104021,1433
1500000US410510104022,2724
1500000US410510104023,2192
1500000US410510104051,1865
1500000US410510104052,1110
1500000US410510104053,1677
1500000US410510104054,1382
1500000US410510104071,2450
1500000US410510104072,2022
